cohort_month,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
2017-06,2023.0,61.0,50.0,54.0,88.0,67.0,62.0,47.0,58.0,45.0,45.0,53.0,0.0
2017-07,0.0,1923.0,52.0,57.0,64.0,49.0,38.0,36.0,39.0,42.0,22.0,26.0,0.0
2017-08,0.0,0.0,1370.0,58.0,53.0,44.0,40.0,32.0,30.0,44.0,19.0,31.0,0.0
2017-09,0.0,0.0,0.0,2581.0,130.0,100.0,74.0,52.0,64.0,66.0,37.0,43.0,0.0
2017-10,0.0,0.0,0.0,0.0,4340.0,206.0,123.0,92.0,93.0,72.0,56.0,67.0,0.0
2017-11,0.0,0.0,0.0,0.0,0.0,4081.0,222.0,120.0,106.0,81.0,48.0,62.0,0.0
2017-12,0.0,0.0,0.0,0.0,0.0,0.0,4383.0,146.0,103.0,97.0,50.0,63.0,0.0
2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3373.0,114.0,83.0,43.0,45.0,0.0
2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3651.0,118.0,58.0,39.0,0.0
2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3533.0,90.0,58.0,0.0
2018-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2276.0,69.0,0.0
2018-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2988.0,0.0
2018-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
